angela,4 1 4 0 2 4 2 3 3 3 1 5 2 0 1 5 5 2 2 4 3 1 2 4 5 3 2 0 2 1 1 3 5 4 1 3 5 0 1 0 5 4 2 4 1 2 4 5 5 5
bobby,5 2 1 2 4 1 5 3 3 0 1 0 2 1 4 1 5 0 1 4 1 0 4 1 3 2 0 0 2 1 1 4 4 1 3 2 5 3 5 5 5 3 4 0 0 1 4 2 5 2
sharon,3 2 2 1 1 1 5 1 3 1 0 2 2 1 3 3 5 1 5 3 2 4 1 0 3 5 2 3 2 0 3 5 1 1 3 3 2 5 4 3 0 4 4 0 3 3 1 5 5 5
cheryl,3 1 4 2 1 3 5 0 3 4 0 4 0 3 4 1 4 5 1 5 0 3 0 4 3 3 0 2 1 0 0 3 2 1 2 1 4 2 2 5 3 2 5 5 2 1 3 1 4 2
olivia,1 3 4 0 1 1 2 2 0 4 3 3 3 1 1 1 4 0 4 5 0 3 0 2 2 5 1 5 1 1 4 2 1 1 0 3 5 1 5 5 3 3 5 5 4 1 2 5 1 1
andrew,2 2 1 5 0 0 3 2 2 1 2 1 1 1 4 4 4 2 3 1 3 1 0 1 3 1 1 5 2 0 2 2 3 2 0 3 5 3 5 4 4 3 5 0 2 1 3 4 1 4
amber,5 3 3 4 0 2 0 1 0 2 0 3 2 0 1 2 4 1 1 4 2 2 2 5 1 5 0 4 1 5 3 5 2 0 2 3 0 4 4 4 4 5 4 0 2 1 3 2 5 3
deborah,4 5 2 0 1 2 3 1 3 1 5 1 3 2 2 2 4 0 3 2 1 3 4 3 4 4 0 4 2 1 0 5 4 3 2 0 5 4 1 4 4 2 4 4 3 3 2 4 0 0
matthew,1 0 4 0 1 1 2 2 0 0 3 3 0 1 1 1 0 0 4 5 0 3 0 0 2 5 1 5 1 1 4 2 1 1 0 3 5 1 5 5 3 3 5 0 4 1 2 5 1 1
alexander,4 5 3 1 0 0 4 4 2 4 2 3 5 3 2 2 4 4 0 3 2 5 2 2 4 2 1 1 2 1 2 1 0 1 0 2 2 5 5 4 5 4 5 0 4 2 2 3 4 4
susan,4 5 3 1 0 0 4 4 2 4 2 3 5 3 2 2 4 4 0 3 2 5 2 2 4 2 1 1 2 1 2 1 0 1 0 2 2 5 5 4 5 4 5 0 4 2 2 3 4 4
beverly,2 1 2 1 1 2 5 2 4 3 0 5 3 3 2 1 0 3 2 2 4 1 2 2 4 4 1 1 1 0 4 2 3 1 3 1 2 3 5 3 4 0 3 4 3 4 2 3 3 5
amanda,5 0 0 0 2 2 0 1 2 2 2 4 1 2 0 4 0 5 1 5 1 1 2 0 5 3 2 3 0 3 2 1 0 2 4 3 3 5 1 4 3 5 2 0 4 1 1 0 1 2
anna,5 0 0 0 2 2 5 1 2 2 2 4 1 2 0 4 0 5 1 5 1 1 2 0 5 3 2 3 0 3 2 1 0 2 4 3 3 5 1 4 3 5 2 0 4 1 1 0 1 2
ryan,5 3 2 0 2 1 0 1 2 2 1 3 3 3 0 2 5 3 2 2 0 3 1 3 2 0 3 5 1 2 1 4 4 2 2 1 2 5 1 1 4 5 2 4 5 2 1 2 4 1
lawrence,4 2 0 2 1 0 5 0 5 0 2 2 4 2 4 1 0 3 3 4 0 2 1 0 5 5 3 1 3 4 1 2 4 1 1 3 3 1 2 5 2 4 5 4 1 4 2 1 3 2
